Creato come nuovo set dati;Sample 013 By Administrator Date martedì, novembre 22 2022
cm-1;%T
3199.00;80.63
3198.00;80.61
3197.00;80.57
3196.00;80.53
3195.00;80.48
3194.00;80.42
3193.00;80.37
3192.00;80.32
3191.00;80.29
3190.00;80.27
3189.00;80.26
3188.00;80.25
3187.00;80.23
3186.00;80.20
3185.00;80.15
3184.00;80.09
3183.00;80.05
3182.00;80.02
3181.00;80.00
3180.00;79.97
3179.00;79.92
3178.00;79.87
3177.00;79.82
3176.00;79.76
3175.00;79.70
3174.00;79.66
3173.00;79.63
3172.00;79.61
3171.00;79.59
3170.00;79.58
3169.00;79.55
3168.00;79.51
3167.00;79.45
3166.00;79.40
3165.00;79.35
3164.00;79.33
3163.00;79.29
3162.00;79.24
3161.00;79.18
3160.00;79.13
3159.00;79.11
3158.00;79.10
3157.00;79.09
3156.00;79.08
3155.00;79.06
3154.00;79.03
3153.00;78.98
3152.00;78.90
3151.00;78.83
3150.00;78.76
3149.00;78.70
3148.00;78.65
3147.00;78.59
3146.00;78.53
3145.00;78.48
3144.00;78.43
3143.00;78.38
3142.00;78.34
3141.00;78.30
3140.00;78.25
3139.00;78.20
3138.00;78.13
3137.00;78.05
3136.00;77.97
3135.00;77.89
3134.00;77.80
3133.00;77.73
3132.00;77.67
3131.00;77.62
3130.00;77.56
3129.00;77.49
3128.00;77.43
3127.00;77.37
3126.00;77.31
3125.00;77.26
3124.00;77.21
3123.00;77.16
3122.00;77.10
3121.00;77.03
3120.00;76.97
3119.00;76.91
3118.00;76.85
3117.00;76.78
3116.00;76.67
3115.00;76.55
3114.00;76.43
3113.00;76.33
3112.00;76.23
3111.00;76.13
3110.00;76.03
3109.00;75.93
3108.00;75.83
3107.00;75.74
3106.00;75.65
3105.00;75.56
3104.00;75.49
3103.00;75.44
3102.00;75.40
3101.00;75.37
3100.00;75.33
3099.00;75.27
3098.00;75.20
3097.00;75.13
3096.00;75.05
3095.00;74.97
3094.00;74.89
3093.00;74.82
3092.00;74.76
3091.00;74.71
3090.00;74.64
3089.00;74.57
3088.00;74.49
3087.00;74.41
3086.00;74.33
3085.00;74.24
3084.00;74.15
3083.00;74.07
3082.00;73.99
3081.00;73.90
3080.00;73.79
3079.00;73.68
3078.00;73.57
3077.00;73.47
3076.00;73.39
3075.00;73.35
3074.00;73.34
3073.00;73.35
3072.00;73.38
3071.00;73.42
3070.00;73.46
3069.00;73.49
3068.00;73.52
3067.00;73.55
3066.00;73.59
3065.00;73.64
3064.00;73.68
3063.00;73.70
3062.00;73.71
3061.00;73.71
3060.00;73.72
3059.00;73.75
3058.00;73.78
3057.00;73.80
3056.00;73.82
3055.00;73.83
3054.00;73.85
3053.00;73.85
3052.00;73.85
3051.00;73.83
3050.00;73.81
3049.00;73.79
3048.00;73.78
3047.00;73.77
3046.00;73.76
3045.00;73.75
3044.00;73.73
3043.00;73.69
3042.00;73.63
3041.00;73.54
3040.00;73.44
3039.00;73.37
3038.00;73.32
3037.00;73.28
3036.00;73.24
3035.00;73.20
3034.00;73.16
3033.00;73.13
3032.00;73.09
3031.00;73.03
3030.00;72.95
3029.00;72.87
3028.00;72.81
3027.00;72.78
3026.00;72.75
3025.00;72.71
3024.00;72.65
3023.00;72.58
3022.00;72.52
3021.00;72.47
3020.00;72.42
3019.00;72.37
3018.00;72.32
3017.00;72.27
3016.00;72.22
3015.00;72.18
3014.00;72.13
3013.00;72.09
3012.00;72.02
3011.00;71.94
3010.00;71.85
3009.00;71.77
3008.00;71.72
3007.00;71.68
3006.00;71.63
3005.00;71.59
3004.00;71.55
3003.00;71.51
3002.00;71.48
3001.00;71.45
3000.00;71.41
2999.00;71.38
2998.00;71.36
2997.00;71.35
2996.00;71.34
2995.00;71.34
2994.00;71.33
2993.00;71.32
2992.00;71.29
2991.00;71.25
2990.00;71.21
2989.00;71.18
2988.00;71.15
2987.00;71.12
2986.00;71.11
2985.00;71.10
2984.00;71.10
2983.00;71.10
2982.00;71.09
2981.00;71.08
2980.00;71.06
2979.00;71.03
2978.00;71.02
2977.00;71.02
2976.00;71.02
2975.00;71.03
2974.00;71.03
2973.00;71.02
2972.00;71.01
2971.00;71.00
2970.00;70.99
2969.00;71.00
2968.00;71.02
2967.00;71.05
2966.00;71.06
2965.00;71.05
2964.00;71.04
2963.00;71.04
2962.00;71.05
2961.00;71.08
2960.00;71.10
2959.00;71.12
2958.00;71.12
2957.00;71.12
2956.00;71.12
2955.00;71.14
2954.00;71.15
2953.00;71.17
2952.00;71.18
2951.00;71.19
2950.00;71.22
2949.00;71.25
2948.00;71.30
2947.00;71.35
2946.00;71.39
2945.00;71.41
2944.00;71.43
2943.00;71.43
2942.00;71.45
2941.00;71.46
2940.00;71.48
2939.00;71.49
2938.00;71.50
2937.00;71.51
2936.00;71.54
2935.00;71.59
2934.00;71.65
2933.00;71.70
2932.00;71.74
2931.00;71.77
2930.00;71.80
2929.00;71.83
2928.00;71.86
2927.00;71.88
2926.00;71.89
2925.00;71.88
2924.00;71.88
2923.00;71.87
2922.00;71.87
2921.00;71.88
2920.00;71.88
2919.00;71.87
2918.00;71.85
2917.00;71.81
2916.00;71.78
2915.00;71.76
2914.00;71.75
2913.00;71.74
2912.00;71.71
2911.00;71.67
2910.00;71.63
2909.00;71.58
2908.00;71.52
2907.00;71.46
2906.00;71.39
2905.00;71.32
2904.00;71.27
2903.00;71.24
2902.00;71.21
2901.00;71.17
2900.00;71.11
2899.00;71.05
2898.00;71.01
2897.00;70.97
